DAG,Datahub_Composer,OtherNotes
GCS_to_BQ_fcty_sap_inv_det_iseg_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_inv_hdr_ikpf_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_inv_ser_ser07_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_po_det_ekpo_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_po_hdr_ekko_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_ser_equ_eqbs_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_ser_equ_equi_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_ser_obj_objk_load_app,,Supported; Aaditya
BQ_to_BQ_fcty_sap_master1_load_app,,Supported; Aaditya
BQ_to_BQ_fcty_sap_master2_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_ivrods_callback_session_load_app,,Supported
GCS_to_BQ_fcty_ivrods_call_session_cde_load_app,,Supported
GCS_to_BQ_fcty_ivrods_call_session_load_app,,Supported
GCS_to_BQ_fcty_ivrods_call_transfer_load_app,,Supported
GCS_to_BQ_fcty_ivrods_login_result_load_app,,Supported
GCS_to_BQ_fcty_ivrods_node_load_app,,Supported
GCS_to_BQ_fcty_ivrods_omni_callback_load_app,,Supported
GCS_to_BQ_fcty_ivrods_ppd_callback_session_load_app,,Supported
GCS_to_BQ_fcty_ivrods_ppd_call_routing_load_app,,Supported
GCS_to_BQ_fcty_ivrods_ppd_call_session_load_app,,Supported
GCS_to_BQ_fcty_ivrods_ppd_login_result_load_app,,Supported
GCS_to_BQ_fcty_ivrods_ppd_node_load_app,,Supported
GCS_to_BQ_fcty_ivrods_ppd_remote_call_load_app,,Supported
GCS_to_BQ_fcty_ivrods_ppd_selfserve_txn_load_app,,Supported
GCS_to_BQ_fcty_ivrods_remote_call_load_app,,Supported
GCS_to_BQ_fcty_ivrods_selfserve_txn_load_app,,Supported
GCS_to_BQ_fcty_ivrods_target_account_load_app,,Supported
GCS_to_BQ_fcty_ivrods_virtual_hold_load_app,,Supported
gen_end_to_end_Dag,,Supported
GCS_to_BQ_fcty_kb_activity_rsn_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_adjustment_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_adjustment_reason_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_bill_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_bill_subscriber_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_billing_cycle_details_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_charge_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_collection_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_collection_status_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_gl_split_reporting_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_invoice_item_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_ipdr_details_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_logical_date_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_memo_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_memo_type_load_app,b1,Critical; Aaditya
GCS_to_BQ_fcty_kb_payment_activity_load_app,b1,Critical; Aaditya
